run_id,keyword_id,youtube_id,title,channel_title,published_at,view_count,like_count,comment_count,thumbnail_url,collected_at
1,11,kra-B42r6F0,"""유통업계의 대모"" 신영자 의장님을 추모하며",롯데재단,2026-02-24 14:18,2337,31,2,https://i.ytimg.com/vi/kra-B42r6F0/hqdefault.jpg,2026-02-25 16:09
1,11,zqMmMm7yaxc,"[신통방통] 신격호의 '아픈 손가락' 신영자 별세···롯데재단 ""사회공헌에 큰 힘""",뉴스TVCHOSUN,2026-02-23 11:52,241866,2144,268,https://i.ytimg.com/vi/zqMmMm7yaxc/hqdefault.jpg,2026-02-25 16:09
1,12,-yUQaYdTQ0w,Stocks Hit by AI-Disruption Fears as IBM Tumbles | Closing Bell,Bloomberg Podcasts,2026-02-24 06:47,13899,129,16,https://i.ytimg.com/vi/-yUQaYdTQ0w/hqdefault.jpg,2026-02-25 16:09
1,12,EFOtaqH2V_c,"IBM's $31 Billion Plunge Sparks Global IT Selloff, From TCS To Infosys Hit Over Anthropic's COBOL",Mint,2026-02-25 02:06,129702,984,146,https://i.ytimg.com/vi/EFOtaqH2V_c/hqdefault.jpg,2026-02-25 16:09
1,12,m3-7bnqXsMY,IBM 주가 역대급 '곤두박질'...월가 발칵 뒤집은 보고서 [지금이뉴스] / YTN, YTN,2026-02-24 16:30,479177,2812,629,https://i.ytimg.com/vi/m3-7bnqXsMY/hqdefault.jpg,2026-02-25 16:09
1,13,2XDUfGHdj40,"[자막뉴스] ""20시간이나 기다렸어요"" 에어로케이 상습 지연 이유는?",CJB NEWS,2026-01-07 09:20,602,4,0,https://i.ytimg.com/vi/2XDUfGHdj40/hqdefault.jpg,2026-02-25 16:09
1,13,oM1I8tlViCc,에어로k 비행기 사이즈가 좀... 작네요. 비행에 문제 없겠죠? 승무원들 엄청 친절 & 음악도 핫핫 #에어로케이 #에어로k #일본,프로 야근러 더마코스메틱 CEO 의 1일 1영상~  ,2025-09-14 07:38,87533,140,78,https://i.ytimg.com/vi/oM1I8tlViCc/hqdefault.jpg,2026-02-25 16:09
1,13,3Qrw404LjPU,"에어로케이, 이 영상만 보고 가도 충분합니다   ",몬크,2025-10-30 22:23,2396,64,3,https://i.ytimg.com/vi/3Qrw404LjPU/hqdefault.jpg,2026-02-25 16:09
1,14,dgafCU6STIU,노보 노디스크(NVO) 2월 24일 -15% 폭락!  지금 사면 절대 안 되는 이유 긴급 분석,미주가 (미국 주식 가이드),2026-02-24 01:14,699,11,5,https://i.ytimg.com/vi/dgafCU6STIU/hqdefault.jpg,2026-02-25 16:10
1,14,5cz_EveJQ2o,"노보노디스크 ‘급락’…비만치료제 왕좌, 릴리로 넘어가나",서울경제TV,2026-02-24 18:30,794,3,0,https://i.ytimg.com/vi/5cz_EveJQ2o/hqdefault.jpg,2026-02-25 16:10
1,14,0qzzy-5wtGs,노보노디스크 위고비 몰락의 진짜 이유,비밀서점,2026-02-25 05:00,39,3,0,https://i.ytimg.com/vi/0qzzy-5wtGs/hqdefault.jpg,2026-02-25 16:10
1,15,9Cl1-39Gn7o,[희망이가 알려드림🌟] 국가장학금과 학자금대출! 어떻게 신청하죠?,한국장학재단,2025-11-17 15:20,127416,0,102,https://i.ytimg.com/vi/9Cl1-39Gn7o/hqdefault.jpg,2026-02-25 16:10
1,15,jxAk9SrTtfM,"학자금 통합신청, 이거 하나면 끝!  | 장학특급",한국장학재단,2025-12-09 18:29,2823,0,44,https://i.ytimg.com/vi/jxAk9SrTtfM/hqdefault.jpg,2026-02-25 16:10
1,15,3KOTU2BOzYM,"""국가장학금 덕""...한국장학재단에 11억 기부한 20대 [지금이뉴스] / YTN", YTN,2023-09-26 14:52,127658,2757,662,https://i.ytimg.com/vi/3KOTU2BOzYM/hqdefault.jpg,2026-02-25 16:10
1,16,pFOgSURsFkM,"""중국 위안화에도 박살났다""…일본 엔화 실질 가치, 30년 만에 3분의 1토막 '충격'",서울경제TV,2026-02-22 12:15,16793,146,151,https://i.ytimg.com/vi/pFOgSURsFkM/hqdefault.jpg,2026-02-25 16:10
1,16,VLEx9ZGp5VM,엔화 약세에 돈까지 푼다?!😮 ‘사나에노믹스’가 던진 일본 경제 승부수💴 그렇다면 한국의 선택은? | 장르가 머니 47회 | JTBC 260220 방송,교양 Voyage,2026-02-20 20:00,23426,21,1,https://i.ytimg.com/vi/VLEx9ZGp5VM/hqdefault.jpg,2026-02-25 16:10
1,16,e02ht9YjRr0,환율•금리•엔화•금...2026년 향방은? [최준영 박사 1부],머니올라_KBS,2026-01-01 07:00,41401,787,53,https://i.ytimg.com/vi/e02ht9YjRr0/hqdefault.jpg,2026-02-25 16:10
1,17,w8HJsAzoDVc,"액스비스, 에스팀 결과 ㅣ 몇주 받을까요 ?",경제적자유민족,2026-02-24 16:50,11671,585,58,https://i.ytimg.com/vi/w8HJsAzoDVc/hqdefault.jpg,2026-02-25 16:10
1,17,_BOiKqaXdXM,[공모주] 액스비스 & 에스팀 마감 / 예상 배정 수량은? / 가성비 구간은?,주식애소리,2026-02-24 16:59,14462,558,31,https://i.ytimg.com/vi/_BOiKqaXdXM/hqdefault.jpg,2026-02-25 16:10
1,17,_y6GnCG_Zik,"액스비스, 에스팀 공모주 청약 마감(2일차) | 배정수 체크하세요",집돈버 구쯔,2026-02-24 17:09,9659,551,18,https://i.ytimg.com/vi/_y6GnCG_Zik/hqdefault.jpg,2026-02-25 16:10
1,18,cP249kaSjQA,2026학년도 공주대 예상 수시등급 –  [교과] 일반 내신등급,내신닷컴,2025-08-26 10:00,7180,47,4,https://i.ytimg.com/vi/cP249kaSjQA/hqdefault.jpg,2026-02-25 16:10
1,18,SE-b5MJfl7U,"""공주대학교 프린세스메이커학과"" 학생이 입대한다면? #만우절",시옷시옷,2024-03-31 12:00,610517,20943,394,https://i.ytimg.com/vi/SE-b5MJfl7U/hqdefault.jpg,2026-02-25 16:10
