keyword,youtube_total_scale,video_title,view_count,like_count,comment_count
atlético madrid vs club brugge,1000000,Atletico Madrid vs Club Brugge 4-1 Resumen | Sorloth Hattrick | UCL Highlights | Johnny Cardoso Goal,18818,50,1
at마드리드,1000000,"'브뤼헤 돌풍' 잠재운 해트트릭! 쇠를로트, AT 마드리드 16강 이끌다 #SPOTIME #UCL",76897,809,128
at마드리드,1000000,[라리가] 25R AT.마드리드 vs 에스파뇰 2분 하이라이트,39216,435,42
at마드리드,1000000,Atlético de Madrid ATM vs club brugge 4-1 Highlights & Goals • alexander sorloth hattrick ,23861,123,2
psg 대 메스,1327,[리그 1] 16R 메스 vs PSG 이강인 주요장면,1014968,5950,2355
psg 대 메스,1327,[리그 1] 16R 메스 vs PSG 2분 하이라이트,157005,1104,218
psg 대 메스,1327,[리그 1] 16R 메스 vs PSG 이브라힘 음바예 주요장면,961,14,6
mlb,1000000,클리블랜드 vs LA 다저스｜5분 하이라이트｜2026 MLB 시범경기 (02.25),37457,603,69
mlb,1000000,Mets vs. Astros Game Highlights (2/24/26) | Spring Training,7252,169,8
mlb,1000000,New York Yankees @ Toronto Blue Jays | Spring Training Highlights (2/24/26),50849,798,41
노시환,59473,"""처음엔 5년 계약 생각했는데..."" 한화 노시환, 사상 초유 '11년 307억' 계약 후기 / 스포츠머그",61496,613,447
노시환,59473,"[오피셜] '종신 한화' 선언 노시환, 역대 최장·최대 규모 11년 307억원 비FA 다년계약 현장! ",310882,7728,2502
노시환,59473,"노시환, '11년 307억' 초대형 계약...한화 이글스 '레전드' 예약 [지금이뉴스]  / YTN",74791,311,1004
레알 에스파냐 대 엘에이 fc,251,전반전 끝났는데 어시스트 3개?! l 2026 북중미 챔피언스컵 I 레알 에스파냐 vs LAFC,557314,10093,674
레알 에스파냐 대 엘에이 fc,251,Real España vs LAFC | 2026 Concacaf Champions Cup | Round One,203647,2699,221
레알 에스파냐 대 엘에이 fc,251,시즌 첫 경기부터 해트트릭을 달성한 부앙가 l 2026 북중미 챔피언스컵 I 레알 에스파냐 vs LAFC,117940,1295,73
인테르,1000000,인테르 광탈... 우리는 찬우형을 챔스에서 볼 수 없게 됐습니다ㅠㅠㅣ후토크,67852,1324,309
인테르,1000000,"노르웨이 변방 클럽의 기적! 보되, 창단 109년 만에 첫 'UCL 16강' #SPOTIME #UCL",55548,772,274
인테르,1000000,[UCL] 치명적인 인테르 수비 실책! 헤우게의 선제 득점 (02.25),52671,509,72
